laplace_correction,estimation_mode,bandwidth_selection,bandwidth,minimum_bandwidth,number_of_kernels,use_application_grid,application_grid_size,PREC_AT_99_REC
True,full,heuristic,50,100,1,False,10,0.2434
True,full,heuristic,50,100,1,False,200,0.2434
True,full,heuristic,50,100,1,False,1000,0.2434
True,full,heuristic,50,100,1,False,10000,0.2434
True,full,heuristic,0.001,5,1000,True,10,0.2434
True,full,heuristic,50,100,4,True,200,0.2611
True,full,heuristic,50,100,4,True,1000,0.2446
True,full,heuristic,50,100,4,True,10000,0.2437
True,full,heuristic,50,100,4,False,10,0.2434
True,full,heuristic,50,100,4,False,200,0.2434
True,full,heuristic,50,100,4,False,1000,0.2434
True,full,heuristic,50,100,4,False,10000,0.2434
True,full,heuristic,50,100,50,True,10,0.2434
True,full,heuristic,50,100,50,True,200,0.2611
True,full,heuristic,50,100,50,True,1000,0.2446
True,full,heuristic,0.001,5,1000,True,200,0.2611
True,full,heuristic,50,100,50,True,10000,0.2437
True,full,heuristic,50,100,50,False,10,0.2434
True,full,heuristic,50,100,50,False,200,0.2434
True,full,heuristic,0.001,5,1000,True,1000,0.2446
True,full,heuristic,50,100,1000,True,200,0.2611
True,full,heuristic,50,100,1000,True,1000,0.2446
True,full,heuristic,50,100,1000,True,10000,0.2437
True,full,heuristic,50,100,1000,False,10,0.2434
True,full,heuristic,50,100,1000,False,200,0.2434
True,full,heuristic,50,100,1000,False,1000,0.2434
True,full,heuristic,0.001,5,1000,True,10000,0.2437
True,full,heuristic,50,100,1000,False,10000,0.2434
True,full,heuristic,50,1000,1,True,10,0.2434
True,full,heuristic,50,1000,1,True,200,0.2611
True,full,heuristic,50,1000,1,True,1000,0.2446
True,full,heuristic,50,1000,1,True,10000,0.2437
True,full,heuristic,50,1000,1,False,10,0.2434
True,full,heuristic,50,1000,1,False,200,0.2434
True,full,heuristic,50,1000,1,False,1000,0.2434
True,full,heuristic,50,1000,1,False,10000,0.2434
True,full,heuristic,0.001,5,1000,False,10,0.2434
True,full,heuristic,50,1000,4,True,200,0.2611
True,full,heuristic,50,1000,4,True,1000,0.2446
True,full,heuristic,50,1000,4,True,10000,0.2437
True,full,heuristic,0.001,5,1000,False,200,0.2434
True,full,heuristic,50,1000,50,False,200,0.2434
True,full,heuristic,50,1000,50,False,1000,0.2434
True,full,heuristic,50,1000,50,False,10000,0.2434
True,full,heuristic,50,1000,100,True,10,0.2434
True,full,heuristic,50,1000,100,True,200,0.2611
True,full,heuristic,50,1000,100,True,1000,0.2446
True,full,heuristic,50,1000,100,True,10000,0.2437
True,full,heuristic,50,1000,100,False,10,0.2434
True,full,heuristic,0.001,5,1000,False,1000,0.2434
True,full,heuristic,50,1000,100,False,200,0.2434
True,full,heuristic,50,1000,100,False,1000,0.2434
True,full,heuristic,50,1000,100,False,10000,0.2434
True,full,heuristic,50,1000,1000,True,10,0.2434
True,full,heuristic,50,1000,1000,True,200,0.2611
True,full,heuristic,50,1000,1000,True,1000,0.2446
True,full,heuristic,50,1000,1000,True,10000,0.2437
True,full,heuristic,50,1000,1000,False,10,0.2434
True,full,heuristic,50,1000,1000,False,200,0.2434
True,full,heuristic,50,1000,1000,False,1000,0.2434
True,full,heuristic,0.001,0.001,4,True,10000,0.2437
True,full,heuristic,50,1000,1000,False,10000,0.2434
True,full,heuristic,100,0.001,1,True,10,0.2434
True,full,heuristic,100,0.001,1,True,200,0.2611
True,full,heuristic,100,0.001,1,True,1000,0.2446
True,full,heuristic,100,0.001,1,True,10000,0.2437
True,full,heuristic,100,0.001,1,False,10,0.2434
True,full,heuristic,100,0.001,1,False,200,0.2434
True,full,heuristic,100,0.001,1,False,1000,0.2434
True,full,heuristic,100,0.001,1,False,10000,0.2434
True,full,heuristic,0.001,50,1,True,10,0.2434
True,full,heuristic,100,0.001,100,True,1000,0.2446
True,full,heuristic,100,0.001,100,True,10000,0.2437
True,full,heuristic,100,0.001,100,False,10,0.2434
True,full,heuristic,100,0.001,100,False,200,0.2434
True,full,heuristic,100,0.001,100,False,1000,0.2434
True,full,heuristic,100,0.001,1000,True,10,0.2434
True,full,heuristic,100,0.001,1000,True,1000,0.2446
True,full,heuristic,100,0.001,1000,True,10000,0.2437
True,full,heuristic,100,0.001,1000,False,10,0.2434
True,full,heuristic,100,0.001,1000,False,200,0.2434
True,full,heuristic,100,0.001,1000,False,1000,0.2434
True,full,heuristic,100,0.001,1000,False,10000,0.2434
True,full,heuristic,100,0.5,1,True,10,0.2434
True,full,heuristic,100,0.5,1,True,200,0.2611
True,full,heuristic,100,0.5,1,True,1000,0.2446
True,full,heuristic,100,0.5,1,True,10000,0.2437
True,full,heuristic,100,0.5,1,False,10,0.2434
True,full,heuristic,100,0.5,1,False,200,0.2434
True,full,heuristic,100,0.5,1,False,1000,0.2434
True,full,heuristic,100,0.5,1,False,10000,0.2434
True,full,heuristic,100,0.5,4,True,10,0.2434
True,full,heuristic,100,0.5,4,True,200,0.2611
True,full,heuristic,100,0.5,4,True,1000,0.2446
True,full,heuristic,100,0.5,4,True,10000,0.2437
True,full,heuristic,0.001,50,1,False,200,0.2434
True,full,heuristic,100,0.5,100,True,1000,0.2446
True,full,heuristic,100,0.5,100,True,10000,0.2437
True,full,heuristic,0.001,50,1,False,1000,0.2434
True,full,heuristic,100,0.5,100,False,200,0.2434
True,full,heuristic,100,0.5,1000,False,10,0.2434
True,full,heuristic,100,0.5,1000,False,200,0.2434
True,full,heuristic,100,0.5,1000,False,1000,0.2434
True,full,heuristic,0.001,50,1,False,10000,0.2434
True,full,heuristic,100,0.5,1000,False,10000,0.2434
True,full,heuristic,100,5,1,True,10,0.2434
True,full,heuristic,100,5,1,True,200,0.2611
True,full,heuristic,100,5,1,True,1000,0.2446
True,full,heuristic,100,5,1,True,10000,0.2437
True,full,heuristic,100,5,1,False,10,0.2434
True,full,heuristic,100,5,1,False,200,0.2434
True,full,heuristic,100,5,1,False,1000,0.2434
True,full,heuristic,100,5,1,False,10000,0.2434
True,full,heuristic,100,5,4,True,10,0.2434
True,full,heuristic,0.001,50,4,True,10,0.2434
True,full,heuristic,100,5,4,True,200,0.2611
True,full,heuristic,100,5,4,True,1000,0.2446
True,full,heuristic,100,5,4,True,10000,0.2437
True,full,heuristic,0.001,0.001,4,False,10,0.2434
True,full,heuristic,0.001,50,4,True,200,0.2611
True,full,heuristic,100,5,50,False,10,0.2434
True,full,heuristic,100,5,50,False,200,0.2434
True,full,heuristic,100,5,100,True,1000,0.2446
True,full,heuristic,100,5,100,True,10000,0.2437
True,full,heuristic,100,5,100,False,10,0.2434
True,full,heuristic,0.001,50,4,True,1000,0.2446
True,full,heuristic,100,5,100,False,200,0.2434
True,full,heuristic,100,5,100,False,1000,0.2434
True,full,heuristic,100,5,100,False,10000,0.2434
True,full,heuristic,100,5,1000,True,10,0.2434
True,full,heuristic,100,5,1000,True,200,0.2611
True,full,heuristic,100,5,1000,True,1000,0.2446
True,full,heuristic,100,5,1000,True,10000,0.2437
True,full,heuristic,100,5,1000,False,10,0.2434
True,full,heuristic,100,5,1000,False,200,0.2434
True,full,heuristic,100,5,1000,False,1000,0.2434
True,full,heuristic,0.001,50,4,True,10000,0.2437
True,full,heuristic,100,5,1000,False,10000,0.2434
True,full,heuristic,100,50,1,True,10,0.2434
True,full,heuristic,100,50,1,True,200,0.2611
True,full,heuristic,100,50,1,True,1000,0.2446
True,full,heuristic,100,50,1,True,10000,0.2437
True,full,heuristic,100,50,1,False,10,0.2434
True,full,heuristic,100,50,1,False,200,0.2434
True,full,heuristic,100,50,1,False,1000,0.2434
True,full,heuristic,100,50,1,False,10000,0.2434
True,full,heuristic,100,50,4,True,10,0.2434
True,full,heuristic,0.001,50,4,False,10,0.2434
True,full,heuristic,100,50,4,True,200,0.2611
True,full,heuristic,100,50,4,True,1000,0.2446
True,full,heuristic,100,50,4,True,10000,0.2437
True,full,heuristic,100,50,4,False,10,0.2434
True,full,heuristic,100,50,4,False,200,0.2434
True,full,heuristic,100,50,4,False,1000,0.2434
True,full,heuristic,100,50,4,False,10000,0.2434
True,full,heuristic,100,50,50,True,10,0.2434
True,full,heuristic,100,50,50,True,200,0.2611
True,full,heuristic,100,50,50,True,1000,0.2446
True,full,heuristic,0.001,50,4,False,200,0.2434
True,full,heuristic,100,50,50,True,10000,0.2437
True,full,heuristic,100,50,50,False,10,0.2434
True,full,heuristic,100,50,50,False,200,0.2434
True,full,heuristic,100,50,50,False,10000,0.2434
True,full,heuristic,100,50,100,True,10,0.2434
True,full,heuristic,100,50,100,True,200,0.2611
True,full,heuristic,100,50,100,True,1000,0.2446
True,full,heuristic,100,50,100,True,10000,0.2437
True,full,heuristic,0.001,50,4,False,1000,0.2434
True,full,heuristic,100,50,100,False,200,0.2434
True,full,heuristic,100,50,100,False,1000,0.2434
True,full,heuristic,100,50,1000,True,200,0.2611
True,full,heuristic,0.001,50,4,False,10000,0.2434
True,full,heuristic,100,100,1,True,10,0.2434
True,full,heuristic,100,100,1,True,200,0.2611
True,full,heuristic,100,100,1,True,1000,0.2446
True,full,heuristic,100,100,1,True,10000,0.2437
True,full,heuristic,100,100,1,False,10,0.2434
True,full,heuristic,100,100,1,False,200,0.2434
True,full,heuristic,100,100,1,False,1000,0.2434
True,full,heuristic,100,100,1,False,10000,0.2434
True,full,heuristic,100,100,4,True,10,0.2434
True,full,heuristic,0.001,50,50,True,10,0.2434
True,full,heuristic,100,100,4,True,200,0.2611
True,full,heuristic,100,100,4,True,1000,0.2446
True,full,heuristic,100,100,4,True,10000,0.2437
True,full,heuristic,100,100,4,False,10,0.2434
True,full,heuristic,100,100,4,False,200,0.2434
True,full,heuristic,100,100,4,False,1000,0.2434
True,full,heuristic,100,100,4,False,10000,0.2434
True,full,heuristic,100,100,50,True,10,0.2434
True,full,heuristic,100,100,50,True,200,0.2611
True,full,heuristic,100,100,50,True,1000,0.2446
True,full,heuristic,0.001,50,50,True,200,0.2611
True,full,heuristic,100,100,50,True,10000,0.2437
True,full,heuristic,100,100,50,False,10,0.2434
True,full,heuristic,100,100,50,False,200,0.2434
True,full,heuristic,100,100,50,False,1000,0.2434
True,full,heuristic,100,100,50,False,10000,0.2434
True,full,heuristic,100,100,100,True,10,0.2434
True,full,heuristic,100,100,100,True,200,0.2611
True,full,heuristic,100,100,100,True,1000,0.2446
True,full,heuristic,100,100,100,True,10000,0.2437
True,full,heuristic,100,100,100,False,10,0.2434
True,full,heuristic,0.001,50,50,True,1000,0.2446
True,full,heuristic,100,100,100,False,200,0.2434
True,full,heuristic,100,100,100,False,1000,0.2434
True,full,heuristic,100,100,100,False,10000,0.2434
True,full,heuristic,100,100,1000,True,10,0.2434
True,full,heuristic,100,100,1000,True,200,0.2611
True,full,heuristic,100,100,1000,True,1000,0.2446
True,full,heuristic,100,100,1000,True,10000,0.2437
True,full,heuristic,100,100,1000,False,10,0.2434
True,full,heuristic,100,100,1000,False,200,0.2434
True,full,heuristic,100,100,1000,False,1000,0.2434
True,full,heuristic,0.001,0.001,4,False,200,0.2434
True,full,heuristic,0.001,50,50,True,10000,0.2437
True,full,heuristic,100,100,1000,False,10000,0.2434
True,full,heuristic,100,1000,1,True,10,0.2434
True,full,heuristic,100,1000,1,True,200,0.2611
True,full,heuristic,100,1000,1,True,1000,0.2446
True,full,heuristic,100,1000,1,True,10000,0.2437
True,full,heuristic,100,1000,1,False,10,0.2434
True,full,heuristic,100,1000,1,False,200,0.2434
True,full,heuristic,100,1000,1,False,1000,0.2434
True,full,heuristic,100,1000,1,False,10000,0.2434
True,full,heuristic,100,1000,4,True,10,0.2434
True,full,heuristic,0.001,50,50,False,10,0.2434
True,full,heuristic,100,1000,4,True,200,0.2611
True,full,heuristic,100,1000,4,True,1000,0.2446
True,full,heuristic,100,1000,4,True,10000,0.2437
True,full,heuristic,100,1000,4,False,10,0.2434
True,full,heuristic,100,1000,4,False,200,0.2434
True,full,heuristic,100,1000,4,False,10000,0.2434
True,full,heuristic,100,1000,50,True,10,0.2434
True,full,heuristic,100,1000,50,True,200,0.2611
True,full,heuristic,100,1000,50,True,1000,0.2446
True,full,heuristic,0.001,50,50,False,200,0.2434
True,full,heuristic,100,1000,50,True,10000,0.2437
True,full,heuristic,100,1000,50,False,10,0.2434
True,full,heuristic,100,1000,50,False,200,0.2434
True,full,heuristic,100,1000,50,False,1000,0.2434
True,full,heuristic,100,1000,50,False,10000,0.2434
True,full,heuristic,100,1000,100,True,10,0.2434
True,full,heuristic,100,1000,100,True,200,0.2611
True,full,heuristic,100,1000,100,True,10000,0.2437
True,full,heuristic,0.001,50,50,False,1000,0.2434
True,full,heuristic,100,1000,100,False,200,0.2434
True,full,heuristic,100,1000,100,False,10000,0.2434
True,full,heuristic,100,1000,1000,True,10,0.2434
True,full,heuristic,100,1000,1000,True,200,0.2611
True,full,heuristic,100,1000,1000,True,1000,0.2446
True,full,heuristic,100,1000,1000,True,10000,0.2437
True,full,heuristic,100,1000,1000,False,10,0.2434
True,full,heuristic,100,1000,1000,False,200,0.2434
True,full,heuristic,100,1000,1000,False,1000,0.2434
True,full,heuristic,0.001,50,50,False,10000,0.2434
True,full,heuristic,100,1000,1000,False,10000,0.2434
True,full,heuristic,1000,0.001,1,True,10,0.2434
True,full,heuristic,1000,0.001,1,True,200,0.2611
True,full,heuristic,1000,0.001,1,True,1000,0.2446
True,full,heuristic,1000,0.001,1,True,10000,0.2437
True,full,heuristic,1000,0.001,1,False,10,0.2434
True,full,heuristic,1000,0.001,1,False,200,0.2434
True,full,heuristic,1000,0.001,1,False,1000,0.2434
True,full,heuristic,1000,0.001,1,False,10000,0.2434
True,full,heuristic,1000,0.001,4,True,10,0.2434
True,full,heuristic,0.001,50,100,True,10,0.2434
True,full,heuristic,1000,0.001,4,True,200,0.2611
True,full,heuristic,1000,0.001,4,True,1000,0.2446
True,full,heuristic,1000,0.001,4,True,10000,0.2437
True,full,heuristic,1000,0.001,4,False,10,0.2434
True,full,heuristic,1000,0.001,4,False,200,0.2434
True,full,heuristic,1000,0.001,4,False,1000,0.2434
True,full,heuristic,1000,0.001,4,False,10000,0.2434
True,full,heuristic,1000,0.001,50,True,10,0.2434
True,full,heuristic,1000,0.001,50,True,200,0.2611
True,full,heuristic,1000,0.001,50,True,1000,0.2446
True,full,heuristic,0.001,50,100,True,200,0.2611
True,full,heuristic,1000,0.001,50,True,10000,0.2437
True,full,heuristic,1000,0.001,50,False,10,0.2434
True,full,heuristic,1000,0.001,50,False,200,0.2434
True,full,heuristic,1000,0.001,50,False,1000,0.2434
True,full,heuristic,1000,0.001,50,False,10000,0.2434
True,full,heuristic,1000,0.001,100,True,10,0.2434
True,full,heuristic,1000,0.001,100,True,200,0.2611
True,full,heuristic,1000,0.001,100,True,1000,0.2446
True,full,heuristic,1000,0.001,100,True,10000,0.2437
True,full,heuristic,1000,0.001,100,False,10,0.2434
True,full,heuristic,0.001,50,100,True,1000,0.2446
True,full,heuristic,1000,0.001,100,False,10000,0.2434
True,full,heuristic,1000,0.001,1000,True,10,0.2434
True,full,heuristic,1000,0.001,1000,True,200,0.2611
True,full,heuristic,1000,0.001,1000,True,1000,0.2446
True,full,heuristic,1000,0.001,1000,True,10000,0.2437
True,full,heuristic,1000,0.001,1000,False,10,0.2434
True,full,heuristic,1000,0.001,1000,False,200,0.2434
True,full,heuristic,1000,0.001,1000,False,1000,0.2434
True,full,heuristic,0.001,50,100,True,10000,0.2437
True,full,heuristic,1000,0.001,1000,False,10000,0.2434
True,full,heuristic,1000,0.5,1,True,200,0.2611
True,full,heuristic,1000,0.5,1,True,1000,0.2446
True,full,heuristic,1000,0.5,1,True,10000,0.2437
True,full,heuristic,1000,0.5,1,False,10,0.2434
True,full,heuristic,1000,0.5,1,False,200,0.2434
True,full,heuristic,1000,0.5,1,False,1000,0.2434
True,full,heuristic,1000,0.5,1,False,10000,0.2434
True,full,heuristic,1000,0.5,4,True,10,0.2434
True,full,heuristic,0.001,50,100,False,10,0.2434
True,full,heuristic,1000,0.5,4,True,200,0.2611
True,full,heuristic,1000,0.5,4,True,1000,0.2446
True,full,heuristic,1000,0.5,4,True,10000,0.2437
True,full,heuristic,1000,0.5,4,False,10,0.2434
True,full,heuristic,1000,0.5,4,False,200,0.2434
True,full,heuristic,1000,0.5,4,False,1000,0.2434
True,full,heuristic,1000,0.5,4,False,10000,0.2434
True,full,heuristic,1000,0.5,50,True,10,0.2434
True,full,heuristic,1000,0.5,50,True,200,0.2611
True,full,heuristic,1000,0.5,50,True,1000,0.2446
True,full,heuristic,0.001,0.001,4,False,1000,0.2434
True,full,heuristic,0.001,50,100,False,200,0.2434
True,full,heuristic,1000,0.5,50,True,10000,0.2437
True,full,heuristic,1000,0.5,50,False,10,0.2434
True,full,heuristic,1000,0.5,50,False,200,0.2434
True,full,heuristic,1000,0.5,50,False,1000,0.2434
True,full,heuristic,1000,0.5,50,False,10000,0.2434
True,full,heuristic,1000,0.5,100,True,10,0.2434
True,full,heuristic,1000,0.5,100,True,200,0.2611
True,full,heuristic,1000,0.5,100,True,1000,0.2446
True,full,heuristic,1000,0.5,100,True,10000,0.2437
True,full,heuristic,1000,0.5,100,False,10,0.2434
True,full,heuristic,0.001,50,100,False,1000,0.2434
True,full,heuristic,1000,0.5,100,False,200,0.2434
True,full,heuristic,1000,0.5,100,False,1000,0.2434
True,full,heuristic,1000,0.5,100,False,10000,0.2434
True,full,heuristic,1000,0.5,1000,True,10,0.2434
True,full,heuristic,1000,0.5,1000,True,200,0.2611
True,full,heuristic,1000,0.5,1000,True,1000,0.2446
True,full,heuristic,1000,0.5,1000,True,10000,0.2437
True,full,heuristic,1000,0.5,1000,False,10,0.2434
True,full,heuristic,1000,0.5,1000,False,200,0.2434
True,full,heuristic,1000,0.5,1000,False,1000,0.2434
True,full,heuristic,0.001,50,100,False,10000,0.2434
True,full,heuristic,1000,0.5,1000,False,10000,0.2434
True,full,heuristic,1000,5,1,True,10,0.2434
True,full,heuristic,1000,5,1,True,200,0.2611
True,full,heuristic,1000,5,1,True,1000,0.2446
True,full,heuristic,1000,5,1,True,10000,0.2437
True,full,heuristic,1000,5,1,False,10,0.2434
True,full,heuristic,1000,5,1,False,200,0.2434
True,full,heuristic,1000,5,1,False,1000,0.2434
True,full,heuristic,1000,5,1,False,10000,0.2434
True,full,heuristic,1000,5,4,True,10,0.2434
True,full,heuristic,0.001,50,1000,True,10,0.2434
True,full,heuristic,1000,5,4,True,200,0.2611
True,full,heuristic,1000,5,4,True,10000,0.2437
True,full,heuristic,1000,5,4,False,10,0.2434
True,full,heuristic,1000,5,4,False,200,0.2434
True,full,heuristic,1000,5,4,False,1000,0.2434
True,full,heuristic,1000,5,50,True,200,0.2611
True,full,heuristic,0.001,50,1000,True,200,0.2611
True,full,heuristic,1000,5,100,True,10000,0.2437
True,full,heuristic,1000,5,100,False,10,0.2434
True,full,heuristic,0.001,50,1000,True,1000,0.2446
True,full,heuristic,1000,5,100,False,200,0.2434
True,full,heuristic,1000,5,100,False,1000,0.2434
True,full,heuristic,1000,5,100,False,10000,0.2434
True,full,heuristic,1000,5,1000,True,10,0.2434
True,full,heuristic,1000,5,1000,True,200,0.2611
True,full,heuristic,1000,5,1000,True,1000,0.2446
True,full,heuristic,1000,5,1000,True,10000,0.2437
True,full,heuristic,1000,5,1000,False,10,0.2434
True,full,heuristic,1000,5,1000,False,200,0.2434
True,full,heuristic,1000,5,1000,False,1000,0.2434
True,full,heuristic,0.001,50,1000,True,10000,0.2437
True,full,heuristic,1000,5,1000,False,10000,0.2434
True,full,heuristic,1000,50,1,True,10,0.2434
True,full,heuristic,1000,50,1,True,1000,0.2446
True,full,heuristic,0.001,50,1000,False,10,0.2434
True,full,heuristic,1000,50,4,True,200,0.2611
True,full,heuristic,1000,50,4,True,1000,0.2446
True,full,heuristic,1000,50,4,True,10000,0.2437
True,full,heuristic,1000,50,4,False,10,0.2434
True,full,heuristic,1000,50,4,False,200,0.2434
True,full,heuristic,1000,50,4,False,1000,0.2434
True,full,heuristic,1000,50,4,False,10000,0.2434
True,full,heuristic,1000,50,50,True,10,0.2434
True,full,heuristic,1000,50,50,True,200,0.2611
True,full,heuristic,1000,50,50,True,1000,0.2446
True,full,heuristic,0.001,50,1000,False,200,0.2434
True,full,heuristic,1000,50,50,True,10000,0.2437
True,full,heuristic,1000,50,50,False,10,0.2434
True,full,heuristic,1000,50,50,False,200,0.2434
True,full,heuristic,1000,50,50,False,1000,0.2434
True,full,heuristic,1000,50,50,False,10000,0.2434
True,full,heuristic,1000,50,100,True,10,0.2434
True,full,heuristic,1000,50,100,True,200,0.2611
True,full,heuristic,1000,50,100,True,1000,0.2446
True,full,heuristic,1000,50,100,True,10000,0.2437
True,full,heuristic,1000,50,100,False,10,0.2434
True,full,heuristic,0.001,50,1000,False,1000,0.2434
True,full,heuristic,1000,50,100,False,200,0.2434
True,full,heuristic,1000,50,100,False,10000,0.2434
True,full,heuristic,1000,50,1000,True,10,0.2434
True,full,heuristic,1000,50,1000,True,200,0.2611
True,full,heuristic,1000,50,1000,True,1000,0.2446
True,full,heuristic,1000,50,1000,True,10000,0.2437
True,full,heuristic,1000,50,1000,False,10,0.2434
True,full,heuristic,1000,50,1000,False,200,0.2434
True,full,heuristic,0.001,0.001,4,False,10000,0.2434
True,full,heuristic,0.001,50,1000,False,10000,0.2434
True,full,heuristic,1000,50,1000,False,10000,0.2434
True,full,heuristic,1000,100,1,True,10,0.2434
